source_desc,county_ansi,asd_desc,load_time,commodity_desc,prodn_practice_desc,asd_code,reference_period_desc,util_practice_desc,country_code,week_ending,year,unit_desc,sector_desc,location_desc,Value,domain_desc,state_fips_code,end_code,state_name,freq_desc,group_desc,class_desc,state_ansi,watershed_desc,zip_5,agg_level_desc,congr_district_code,county_name,region_desc,CV (%),statisticcat_desc,state_alpha,county_code,domaincat_desc,short_desc,country_name,watershed_code,begin_code,error
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2015-01-01,$,ANIMALS & PRODUCTS,ALABAMA,,ORGANIC STATUS,1.0,0.0,ALABAMA,ANNUAL,POULTRY,ALL CLASSES,1.0,,,STATE,,,,(D),SALES,AL,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ALASKA,,ORGANIC STATUS,2.0,0.0,ALASKA,ANNUAL,POULTRY,ALL CLASSES,2.0,,,STATE,,,,(D),SALES,AK,,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ALASKA,,ORGANIC STATUS,2.0,0.0,ALASKA,ANNUAL,POULTRY,ALL CLASSES,2.0,,,STATE,,,,(D),SALES,AK,,ORGANIC STATUS: (NOP USDA EXEMPT),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2018-02-01 00:00:00.000,CHICKENS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2019-01-01,$,ANIMALS & PRODUCTS,ARIZONA,,ORGANIC STATUS,4.0,0.0,ARIZONA,ANNUAL,POULTRY,LAYERS,4.0,,,STATE,,,,(D),SALES,AZ,,ORGANIC STATUS: (NOP USDA CERTIFIED),"CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2018-02-01 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2019-01-01,$,ANIMALS & PRODUCTS,ARIZONA,,ORGANIC STATUS,4.0,0.0,ARIZONA,ANNUAL,POULTRY,ALL CLASSES,4.0,,,STATE,,,,(D),SALES,AZ,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2012-12-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2011-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,,SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,CHICKENS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,LAYERS,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,CHICKENS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,LAYERS,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2014-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA EXEMPT),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,CHICKENS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2015-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,LAYERS,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2015-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(H),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2015-01-31 00:00:00.000,"POULTRY, OTHER",ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2015-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(H),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"POULTRY, OTHER, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2016-01-31 00:00:00.000,EGGS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2016-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,(D),SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"EGGS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2016-01-31 00:00:00.000,"POULTRY, OTHER",ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2016-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,ALL CLASSES,5.0,,,STATE,,,,26.7,SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"POULTRY, OTHER, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
CENSUS,,,2018-02-01 00:00:00.000,CHICKENS,ORGANIC,,YEAR,ALL UTILIZATION PRACTICES,9000.0,,2019-01-01,$,ANIMALS & PRODUCTS,ARKANSAS,,ORGANIC STATUS,5.0,0.0,ARKANSAS,ANNUAL,POULTRY,LAYERS,5.0,,,STATE,,,,91.5,SALES,AR,,ORGANIC STATUS: (NOP USDA CERTIFIED),"CHICKENS, LAYERS, ORGANIC - SALES, MEASURED IN $",UNITED STATES,0.0,0.0,
